0 $F,0,"00:00:00","11:49:52","00:00:00","      "
1012 $F,0,"00:00:00","11:49:53","00:00:00","      "
1998 $F,0,"00:00:00","11:49:54","00:00:00","      "
3036 $I,"11:49:55","20 Apr 18"
3037 $I,"11:49:55","20 Apr 18"
3038 $I,"11:49:55","20 Apr 18"
3039 $F,9999,"00:00:00","11:49:55","00:00:00","      "
3040 $B,78,"Juniors men 200 Dobbin 1"
3041 $E,"TRACKNAME","Arena Geisingen"
3041 $E,"TRACKLENGTH","0.200"
3041 $B,78,"Juniors men 200 Dobbin 1"
3042 $E,"TRACKNAME","Arena Geisingen"
3042 $E,"TRACKLENGTH","0.200"
3044 $C,1,"Juniors men"
3109 $COMP,"773","773",1,"Yossy Aditya","Nugraha (IDN)","IDN",""
3109 $A,"774","774",FP-48711,"Gabriel","Ohnmacht (BRA)","BRA",1
3109 $COMP,"774","774",1,"Gabriel","Ohnmacht (BRA)","BRA",""
3110 $A,"775","775",LH-76457,"Francesco","Palumbo (ITA)","ITA",1
3110 $COMP,"775","775",1,"Francesco","Palumbo (ITA)","ITA",""
3110 $A,"776","776",CN-20908,"Michael","Pasquarella (USA)","USA",1
3111 $COMP,"776","776",1,"Michael","Pasquarella (USA)","USA",""
3111 $A,"777","777",CN-12261,"Henry","Payan Marin (COL)","COL",1
3111 $COMP,"777","777",1,"Henry","Payan Marin (COL)","COL",""
3112 $A,"778","778",NX-82331,"Franz","Pottrich (GER)","GER",1
3112 $COMP,"778","778",1,"Franz","Pottrich (GER)","GER",""
3113 $A,"779","779",NK-85489,"Jan","Pribik (CZE)","CZE",1
3113 $COMP,"779","779",1,"Jan","Pribik (CZE)","CZE",""
3113 $A,"780","780",NP-97704,"Tiago","Resende (POR)","POR",1
3114 $COMP,"780","780",1,"Tiago","Resende (POR)","POR",""
3114 $A,"781","781",CX-78244,"Thomas","Ridolfi (FRA)","FRA",1
3115 $COMP,"781","781",1,"Thomas","Ridolfi (FRA)","FRA",""
3115 $A,"782","782",VG-03928,"Adolfo","Rodrigues (POR)","POR",1
3116 $COMP,"782","782",1,"Adolfo","Rodrigues (POR)","POR",""
3116 $A,"783","783",SV-64877,"Florian","Roehrich (GER)","GER",1
3116 $COMP,"783","783",1,"Florian","Roehrich (GER)","GER",""
3117 $A,"784","784",GF-73483,"Niclas","Roesel (GER)","GER",1
3117 $COMP,"784","784",1,"Niclas","Roesel (GER)","GER",""
3118 $A,"785","785",KV-46825,"Chase","Rose (USA)","USA",1
3118 $COMP,"785","785",1,"Chase","Rose (USA)","USA",""
3118 $A,"786","786",CT-00317,"Matteo","Rosiello (ITA)","ITA",1
3119 $COMP,"786","786",1,"Matteo","Rosiello (ITA)","ITA",""
3119 $A,"787","787",CN-11423,"Alessio","Rossi (ITA)","ITA",1
3119 $COMP,"787","787",1,"Alessio","Rossi (ITA)","ITA",""
3120 $A,"788","788",SZ-68816,"Maximillian","Ryan (USA)","USA",1
3120 $COMP,"788","788",1,"Maximillian","Ryan (USA)","USA",""
3121 $A,"789","789",CN-21061,"Merijn","Scheperkamp (NED)","NED",1
3121 $COMP,"789","789",1,"Merijn","Scheperkamp (NED)","NED",""
3122 $A,"790","790",PC-85988,"Paul","Schlichting (GER)","GER",1
3122 $COMP,"790","790",1,"Paul","Schlichting (GER)","GER",""
3122 $A,"791","791",CV-74019,"Filippo","Scotto (ITA)","ITA",1
3123 $COMP,"791","791",1,"Filippo","Scotto (ITA)","ITA",""
3123 $A,"792","792",CN-16121,"Zdenek","Sejpal (CZE)","CZE",1
3124 $COMP,"792","792",1,"Zdenek","Sejpal (CZE)","CZE",""
3124 $A,"793","793",LP-85941,"Pierre","Simon (FRA)","FRA",1
3125 $COMP,"793","793",1,"Pierre","Simon (FRA)","FRA",""
3125 $A,"794","794",TR-07280,"Yvan","Sivilier (FRA)","FRA",1
3126 $COMP,"794","794",1,"Yvan","Sivilier (FRA)","FRA",""
3126 $A,"795","795",NL-71742,"Antti","Sjoergren (FIN)","FIN",1
3128 $COMP,"795","795",1,"Antti","Sjoergren (FIN)","FIN",""
3128 $A,"796","796",TP-23019,"Erwan","Sola (FRA)","FRA",1
3129 $COMP,"796","796",1,"Erwan","Sola (FRA)","FRA",""
